ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq1	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	426	162	133	290	59	531	97837	35587
sq2	Archaea	Thermoplasmatota	EX4484-6	EX4484-6	EX4484-6	EX4484-6	0	20	1	14	49178	27327	14007	7639
sq3	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	128	39	72	92	382	641	739	870
sq4	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	3072	2889	2472	2353	91	354	17	92
sq5	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	1398	872	891	1063	233	795	44	116
sq6	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	2421	944	896	1690	50	400	85	99
sq7	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	Kmv02	1339	1030	897	934	46	139	5	32
sq8	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	1127	1021	1000	1041	26	158	9	49
sq9	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	2	0	0	0	1361	973	298	127
sq10	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	760	215	230	590	17	173	19	44
sq11	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	1192	394	347	771	5	109	28	6
sq12	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	1302	418	382	766	16	129	22	53
sq13	Archaea	Thermoproteota	Bathyarchaeia	B26-1	SOJC01	SOJC01	816	649	536	625	16	67	3	28
sq14	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	597	532	450	482	14	67	5	35
sq15	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	781	192	245	545	12	81	27	27
sq16	Archaea	NA	NA	NA	NA	NA	32	46	34	67	1	10	2	2
sq17	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	NA	1766	818	1270	1098	9	25	1	5
sq18	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	780	250	253	565	9	97	15	24
sq19	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	312	344	186	188	60	205	14	41
sq20	Archaea	Thermoplasmatota	Thermoplasmata	UBA10834	UBA10834	UBA10834	94	102	136	265	12	45	4	4
sq21	Archaea	Thermoproteota	Bathyarchaeia	40CM-2-53-6	NA	NA	322	296	308	321	10	24	4	25
sq22	Archaea	Halobacteriota	Syntropharchaeia	ANME-1	ANME-1	JACGMN01	878	425	646	847	36	116	11	17
sq23	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	588	202	359	286	17	50	7	5
sq24	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	345	130	133	232	3	43	8	19
sq25	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	507	430	405	319	14	66	3	16
sq26	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	263	124	201	761	33	200	19	33
sq27	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	9	0	2	2	884	938	123	190
sq28	Archaea	NA	NA	NA	NA	NA	254	183	289	480	11	76	2	19
sq29	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	588	148	237	399	6	81	29	25
sq30	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	MTP4	6	0	7	4	0	0	0	0
sq31	Archaea	Thermoplasmatota	EX4484-6	EX4484-6	EX4484-6	EX4484-6	0	0	0	5	92	90	119	19
sq32	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	576	105	172	379	6	104	20	17
